feature,corr_1d,corr_5d,corr_20d,abs_corr_5d
XAsset_Credit_Ratio,-0.04264740062785621,-0.09631374116781878,-0.19042401974881273,0.09631374116781878
XAsset_Credit_Change_20d,-0.059348078046860736,-0.07884338760703424,-0.07151188356951073,0.07884338760703424
XAsset_Credit_Change_5d,-0.05813937623190097,-0.06632337341245587,-0.07180308666319282,0.06632337341245587
XAsset_10Y_Yield,-0.027859645241920198,-0.06347631762180159,-0.12654245316454255,0.06347631762180159
XAsset_10Y_Change_20d,-0.03355453682952289,-0.05970463425993275,-0.060572319500738894,0.05970463425993275
XAsset_10Y_Change_5d,-0.03596893104210619,-0.05804098039325684,-0.06304607055492596,0.05804098039325684
XAsset_Credit_Change_lead10,-0.021965538277815805,-0.055490184557944466,-0.019245852880507706,0.055490184557944466
XAsset_Credit_Stress,0.01973205770328257,0.048249968659097024,0.06631740659564507,0.048249968659097024
XAsset_Yield_Rising,-0.02046977787351666,-0.04151974230632253,-0.03547369555764298,0.04151974230632253
XAsset_High_Yield_Regime,-0.016382567411955904,-0.03864454339666492,-0.07336163406235365,0.03864454339666492
XAsset_Credit_Stress_lead5,0.010326849123112006,0.0331042055877029,0.04833832763193321,0.0331042055877029
XAsset_Credit_Stress_lead10,0.008681432807957221,0.025694228803518314,0.03341550683599695,0.025694228803518314
XAsset_High_Vol_lead5,0.0108813541766275,0.025003297663946385,0.032755972295798165,0.025003297663946385
XAsset_Credit_Change_lead5,-0.03410900369954021,-0.02407142313843801,-0.03953080278712753,0.02407142313843801
XAsset_Realized_Vol_20,0.010611723284583584,0.023934182053262358,0.05187635901286799,0.023934182053262358
XAsset_Realized_Vol_60,0.010092497393649251,0.020018627067874446,0.03253825406912102,0.020018627067874446
XAsset_Downside_Vol,0.013477738682235384,0.018776898807187463,0.05166596682558369,0.018776898807187463
XAsset_Vol_Spike,-0.005469961317500524,-0.015574809222219089,0.002696170788585801,0.015574809222219089
XAsset_DXY,-0.006725834720796237,-0.015068794274815943,-0.03379829864250014,0.015068794274815943
XAsset_Dollar_Momentum,-0.0034784626858936425,-0.010662446092156521,-0.02515718542635142,0.010662446092156521
XAsset_Strong_Dollar_lead5,0.003138103582856632,-0.009251386967779208,-0.0428816264908644,0.009251386967779208
XAsset_Credit_Volatility,0.007043051103560899,0.00888800212829328,0.009016701783579663,0.00888800212829328
XAsset_Vol_Spike_lead5,-0.00774512210977706,0.00654983822984398,0.025777100195082434,0.00654983822984398
XAsset_High_Vol_Regime,-0.001130379504256286,0.005852101331255675,0.028523358565342067,0.005852101331255675
XAsset_DXY_Change_20d,-8.45305237243917e-05,0.001228559489025223,-0.019402206910496676,0.001228559489025223
XAsset_Strong_Dollar,-0.0009168515915045436,-0.000814217327033027,-0.037989856679462856,0.000814217327033027
XAsset_DXY_Change_5d,0.0021697420276172376,0.00012496492914040134,-0.0005866703565760115,0.00012496492914040134
