Date,SPY_Close,SPY_Return,XAsset_Credit_Ratio,XAsset_Credit_Change_5d,XAsset_Credit_Change_20d,XAsset_Credit_Stress,XAsset_Credit_Volatility,XAsset_Credit_Stress_lead5,XAsset_Credit_Stress_lead10,XAsset_Credit_Change_lead5,XAsset_Credit_Change_lead10,XAsset_10Y_Yield,XAsset_10Y_Change_5d,XAsset_10Y_Change_20d,XAsset_High_Yield_Regime,XAsset_Yield_Rising,XAsset_DXY,XAsset_DXY_Change_5d,XAsset_DXY_Change_20d,XAsset_Strong_Dollar,XAsset_Dollar_Momentum,XAsset_Strong_Dollar_lead5,XAsset_Realized_Vol_20,XAsset_Realized_Vol_60,XAsset_High_Vol_Regime,XAsset_Vol_Spike,XAsset_Downside_Vol,XAsset_Vol_Spike_lead5,XAsset_High_Vol_lead5
2000-01-03,145.4375,,,,,0,,,,,,6.547999858856201,,,1,0,100.22000122070312,,,0,,,,,0,0,,,
2000-01-04,139.75,-0.03910614525139666,,,,0,,,,,,6.485000133514404,,,1,0,100.41000366210938,,,0,,,,,0,0,,,
2000-01-05,140.0,0.0017889087656528524,,,,0,,,,,,6.598999977111816,,,1,0,100.37999725341795,,,0,,,,,0,0,,,
2000-01-06,137.75,-0.016071428571428625,,,,0,,,,,,6.548999786376953,,,1,0,100.6500015258789,,,0,,,,,0,0,,,
2000-01-07,145.75,0.05807622504537213,,,,0,,,,,,6.504000186920166,,,1,0,100.8000030517578,,,0,,,,,0,0,,,
2000-01-10,146.25,0.0034305317324185847,,,,0,,0.0,,,,6.558000087738037,0.010000228881835938,,1,0,100.98999786376952,0.007683063596963136,,0,,0.0,,,0,0,,0.0,0.0
2000-01-11,144.5,-0.011965811965811923,,,,0,,0.0,,,,6.664000034332275,0.1789999008178711,,1,0,100.55999755859376,0.0014938142716252045,,0,,0.0,,,0,0,,0.0,0.0
2000-01-12,143.0625,-0.009948096885813107,,,,0,,0.0,,,,6.696000099182129,0.0970001220703125,,1,0,100.62000274658205,0.0023909693139179122,,0,,0.0,,,0,0,,0.0,0.0
2000-01-13,145.0,0.013543031891655843,,,,0,,0.0,,,,6.618000030517578,0.069000244140625,,1,0,101.0,0.003477381707054361,,0,,0.0,,,0,0,,0.0,0.0
2000-01-14,146.96875,0.01357758620689653,,,,0,,0.0,,,,6.673999786376953,0.1699995994567871,,1,0,101.72000122070312,0.009126965685436916,,0,,0.0,,,0,0,,0.0,0.0
2000-01-18,145.8125,-0.007867318732723838,,,,0,,0.0,0.0,,,6.748000144958496,0.19000005722045898,,1,0,101.86000061035156,0.008614741706952422,,0,,0.0,,,0,0,,0.0,0.0
2000-01-19,147.0,0.008144020574367694,,,,0,,0.0,0.0,,,6.724999904632568,0.06099987030029297,,1,0,101.76000213623048,0.011933220035506675,,0,,0.0,,,0,0,,0.0,0.0
2000-01-20,144.75,-0.015306122448979553,,,,0,,0.0,0.0,,,6.748000144958496,0.05200004577636719,,1,0,101.36000061035156,0.0073543812718157575,,0,,0.0,,,0,0,,0.0,0.0
2000-01-21,144.4375,-0.0021588946459413227,,,,0,,0.0,0.0,,,6.781000137329102,0.16300010681152344,,1,0,101.76000213623048,0.007524773626044423,,0,,0.0,,,0,0,,0.0,0.0
2000-01-24,140.34375,-0.028342708784076187,,,,0,,0.0,0.0,,,6.684000015258789,0.010000228881835938,,1,0,102.1999969482422,0.004718793961647982,,0,,0.0,,,0,0,,0.0,0.0
2000-01-25,141.9375,0.011356045424181671,,,,0,,0.0,0.0,,,6.684000015258789,-0.06400012969970703,,1,0,102.41000366210938,0.005399597962518765,,0,,0.0,,,0,0,,0.0,0.0
2000-01-26,140.8125,-0.00792602377807139,,,,0,,0.0,0.0,,,6.679999828338623,-0.04500007629394531,,1,0,102.44000244140624,0.006682392795800185,,0,,0.0,,,0,0,,0.0,0.0
2000-01-27,140.25,-0.003994673768308976,,,,0,,0.0,0.0,,,6.684999942779541,-0.06300020217895508,,1,0,103.16999816894533,0.017857118663128002,,0,,0.0,,,0,0,,0.0,0.0
2000-01-28,135.875,-0.031194295900178304,,,,0,,0.0,0.0,,,6.6479997634887695,-0.13300037384033203,,1,0,104.4800033569336,0.026729571183201406,,0,,0.0,,,0,0,,0.0,0.0
2000-01-31,139.5625,0.027138914443422202,,,,0,,0.0,0.0,,,6.666999816894531,-0.017000198364257812,,1,1,105.12999725341795,0.028669279771697198,,0,,0.0,,,0,0,,0.0,0.0
2000-02-01,140.9375,0.009852216748768461,,,,0,,0.0,0.0,,,6.617000102996826,-0.06699991226196289,0.069000244140625,1,0,104.91999816894533,0.02450927074582876,0.046896795958842,0,,0.0,34.422444354448366,,0,0,18.83231023019604,0.0,0.0
2000-02-02,141.0625,0.0008869179600887733,,,,0,,0.0,0.0,,,6.5980000495910645,-0.0819997787475586,0.11299991607666016,1,0,104.79000091552734,0.022940242269764433,0.04362112432698573,0,,0.0,31.39869248530429,,0,0,15.22725744905121,0.0,0.0
2000-02-03,143.1875,0.015064244572441376,,,,0,,0.0,0.0,,,6.474999904632568,-0.21000003814697266,-0.12400007247924805,1,0,103.8000030517578,0.0061064737229210575,0.03407059067461171,0,,0.0,31.81337315106363,,0,0,15.22725744905121,0.0,0.0
2000-02-04,142.59375,-0.0041466608467918276,,,,0,,0.0,0.0,,,6.517000198364258,-0.13099956512451172,-0.03199958801269531,1,0,104.29000091552734,-0.0018185531709560276,0.0361649213558386,0,,0.0,31.225182728991758,,0,0,14.841344153648246,0.0,0.0
2000-02-07,142.375,-0.0015340784571553634,,,,0,,0.0,0.0,,,6.63100004196167,-0.03599977493286133,0.1269998550415039,1,0,104.63999938964844,-0.004660875835356126,0.03809520061144167,0,,0.0,23.12207367175608,,0,0,14.766936607342485,0.0,0.0
2000-02-08,144.3125,0.013608428446005183,,,,0,,0.0,0.0,,,6.598999977111816,-0.018000125885009766,0.0409998893737793,1,0,104.22000122070312,-0.006671720934602443,0.031983398606372004,0,,0.0,23.66076958313967,,0,0,14.766936607342485,0.0,0.0
2000-02-09,141.28125,-0.021004763967085283,,,,0,,0.0,0.0,,,6.669000148773193,0.0710000991821289,0.005000114440917969,1,1,103.68000030517578,-0.010592619531002323,0.031026281049421067,0,,0.0,24.44325440117832,,0,0,15.56070454036903,0.0,0.0
2000-02-10,141.5625,0.001990710019907027,,,,0,,0.0,0.0,,,6.656000137329102,0.1810002326965332,-0.039999961853027344,1,1,104.12999725341795,0.0031791347972851547,0.03488366538486454,0,,0.0,24.230850012407064,,0,0,15.683039812134641,0.0,0.0
2000-02-11,138.6875,-0.020309050772626902,,,,0,,0.0,0.0,,,6.620999813079834,0.10399961471557617,0.0029997825622558594,1,0,104.19000244140624,-0.0009588500646586784,0.03158418258818063,0,,0.0,24.620730743358482,,0,0,16.268612457041815,0.0,0.0
2000-02-14,139.5,0.005858494817485349,,,,0,,0.0,0.0,,,6.539000034332275,-0.09200000762939453,-0.13499975204467773,1,0,104.72000122070312,0.0007645434969545395,0.02949272477387077,0,,0.0,24.11575814903632,,0,0,16.268612457041815,0.0,0.0
2000-02-15,141.078125,0.011312724014336917,,,,0,,0.0,0.0,,,6.552000045776367,-0.04699993133544922,-0.1960000991821289,1,0,104.69000244140624,0.004509702698120455,0.027783249696614165,0,,0.0,24.5068345752359,,0,0,16.463637907018747,0.0,0.0
2000-02-16,139.0,-0.014730313434488829,,,,0,,0.0,0.0,,,6.546999931335449,-0.12200021743774414,-0.17799997329711914,1,0,104.27999877929688,0.005787022302807143,0.02476411743479301,0,,0.0,24.653227378764917,,0,0,16.48747706672757,0.0,0.0
