Date,put_call_ratio,put_call_ratio_ma5,put_call_ratio_ma20,gamma_exposure,gamma_exposure_pct,vix_term_slope,vix_contango,vix_front_month,implied_vol_rank,iv_percentile,max_pain,price_to_max_pain,call_volume,put_volume,total_options_volume,call_oi,put_oi,oi_change_5d
2000-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,144.08782630728416,0.9280094148454419,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,141.62297482180742,-1.3402324306314262,1782122.9050279332,1977653.6312849165,3759776.5363128497,0.0,0.0,0.0
2000-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,144.68766535345688,-3.3483323953263424,1035778.175313057,1044722.7191413213,2080500.8944543782,0.0,0.0,0.0
2000-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,137.3910992013254,0.2605450444098707,1321428.5714285725,1401785.7142857157,2723214.2857142882,0.0,0.0,0.0
2000-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,139.75571992517231,4.112713601940093,2161524.5009074425,2451905.6261343034,4613430.127041746,0.0,0.0,0.0
2000-01-10,1.1036908031553845,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,142.7310491377242,2.4061202477099495,1068610.6346483717,1085763.2933104646,2154373.9279588363,0.0,0.0,0.0
2000-01-11,0.9410955314050589,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,146.71162169126268,-1.530534042396317,1239316.2393162386,1299145.299145298,2538461.5384615366,0.0,0.0,0.0
2000-01-12,1.0121065653033472,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,143.97229657596802,-0.6359434344905314,1198961.9377162622,1248702.4221453278,2447664.35986159,0.0,0.0,0.0
2000-01-13,0.9398155439260077,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,140.9141331858649,2.8178391821621394,1270860.6378331168,1338575.7972913962,2609436.4351245128,0.0,0.0,0.0
2000-01-14,0.9134260554749164,0.9820268998529429,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,146.17480966538076,0.5402103063537225,1271551.7241379307,1339439.6551724132,2610991.379310344,0.0,0.0,0.0
